# Avida resource location data
# Thu Jun  6 15:36:55 2013
# First column gives the current update, all further columns give the cell id
# for center of gradient resources at that update.
#  1: Update
#  2: CellID
#  3: CellID
#  4: CellID
#  5: CellID
#  6: CellID
#  7: CellID
#  8: CellID
#  9: CellID
# 10: CellID
# 11: CellID
# 12: CellID
# 13: CellID
# 14: CellID
# 15: CellID
# 16: CellID

0 35622 31054 12711 12275 2997 51112 60458 11420 51500 51660 31435 1 1834057 1897057 7307 
1 35622 31054 12711 12275 2997 51112 60458 11420 51500 51660 31435 1 1834057 1897057 7307 
2 33102 33554 12711 14795 5497 53622 57958 11420 51500 51660 31435 1 1834057 1897057 7307 
3 30582 36054 12721 17301 7997 56132 55458 11420 51500 51660 31435 1 1834057 1897057 7307 
4 30582 36054 12721 17301 7997 56132 55458 11420 51500 51660 31435 1 1834057 1897057 7307 
5 28062 38564 12731 19801 10497 58642 52942 11420 51500 51660 31435 1 1834057 1897057 7307 
6 25542 41084 12741 22301 12997 59646 50422 11420 51500 51660 31435 1 1834057 1897057 7307 
7 23022 43604 12751 24801 15497 57136 47902 11420 51500 51660 31435 1 1834057 1897057 7307 
8 20502 46124 12761 27301 17997 54626 45382 11420 51500 51660 31435 1 1834057 1897057 7307 
9 20502 46124 12761 27301 17997 54626 45382 11420 51500 51660 31435 1 1834057 1897057 7307 
10 17982 48644 12771 29801 20497 52116 42862 11420 51500 51660 31435 1 1834057 1897057 7307 
11 15472 51164 12781 32301 22997 49606 40342 11420 51500 51660 31435 1 1834057 1897057 7307 
12 15472 51164 12781 32301 22997 49606 40342 11420 51500 51660 31435 1 1834057 1897057 7307 
13 12972 53684 12789 34801 25517 47096 37822 11420 51500 51660 31435 1 1834057 1897057 7307 
14 10472 56204 12779 37307 28037 44586 35302 11420 51500 51660 31435 1 1834057 1897057 7307 
15 7972 58722 12769 39827 30557 42076 32790 11420 51500 51660 31435 1 1834057 1897057 7307 
16 5472 59716 12759 42347 33077 39566 30290 11420 51500 51660 31435 1 1834057 1897057 7307 
17 5472 59716 12759 42347 33077 39566 30290 11420 51500 51660 31435 1 1834057 1897057 7307 
18 2972 57196 12749 44867 35597 37056 27790 11420 51500 51660 31435 1 1834057 1897057 7307 
19 2972 57196 12749 44867 35597 37056 27790 11420 51500 51660 31435 1 1834057 1897057 7307 
20 5492 54676 12739 47387 38117 34546 25290 11420 51500 51660 31435 1 1834057 1897057 7307 
21 8012 52156 12729 49907 40637 32036 22790 11420 51500 51660 31435 1 1834057 1897057 7307 
22 10530 49636 12719 52427 43157 29526 20290 11420 51500 51660 31435 1 1834057 1897057 7307 
23 13030 47116 12709 54947 45665 27016 17790 11420 51500 51660 31435 1 1834057 1897057 7307 
24 13030 47116 12709 54947 45665 27016 17790 11420 51500 51660 31435 1 1834057 1897057 7307 
25 15530 44596 12713 57467 48165 24506 15290 11420 51500 51660 31435 1 1834057 1897057 7307 
26 18030 42076 12723 59969 50665 21996 12790 11420 51500 51660 31435 1 1834057 1897057 7307 
27 20530 39570 12733 58453 53165 19486 10270 11420 51500 51660 31435 1 1834057 1897057 7307 
28 23030 37070 12743 55933 55665 16976 7750 11420 51500 51660 31435 1 1834057 1897057 7307 
29 25530 34570 12753 53413 58165 14466 5230 11420 51500 51660 31435 1 1834057 1897057 7307 
30 25530 34570 12753 53413 58165 14466 5230 11420 51500 51660 31435 1 1834057 1897057 7307 
31 28030 32070 12763 50893 60163 11956 3212 11420 51500 51660 31435 1 1834057 1897057 7307 
32 28030 32070 12763 50893 60163 11956 3212 11420 51500 51660 31435 1 1834057 1897057 7307 
33 30530 29570 12773 48373 57643 9446 5712 11420 51500 51660 31435 1 1834057 1897057 7307 
34 30530 29570 12773 48373 57643 9446 5712 11420 51500 51660 31435 1 1834057 1897057 7307 
35 33044 27070 12783 45853 55127 6936 8212 11420 51500 51660 31435 1 1834057 1897057 7307 
36 35564 24570 12787 43333 52627 4426 10712 11420 51500 51660 31435 1 1834057 1897057 7307 
37 35564 24570 12787 43333 52627 4426 10712 11420 51500 51660 31435 1 1834057 1897057 7307 
38 38084 22070 12777 40823 50127 3924 13212 11420 51500 51660 31435 1 1834057 1897057 7307 
39 40604 19564 12767 38323 47627 6434 15724 11420 51500 51660 31435 1 1834057 1897057 7307 
40 43124 17044 12757 35823 45127 8944 18244 11420 51500 51660 31435 1 1834057 1897057 7307 
41 45644 14524 12747 33323 42627 11454 20764 11420 51500 51660 31435 1 1834057 1897057 7307 
42 45644 14524 12747 33323 42627 11454 20764 11420 51500 51660 31435 1 1834057 1897057 7307 
43 48164 12004 12737 30823 40127 13964 23284 11420 51500 51660 31435 1 1834057 1897057 7307 
44 50684 9484 12727 28323 37627 16474 25804 11420 51500 51660 31435 1 1834057 1897057 7307 
45 50684 9484 12727 28323 37627 16474 25804 11420 51500 51660 31435 1 1834057 1897057 7307 
46 53198 6964 12717 25823 35127 18984 28324 11420 51500 51660 31435 1 1834057 1897057 7307 
47 53198 6964 12717 25823 35127 18984 28324 11420 51500 51660 31435 1 1834057 1897057 7307 
48 55698 4444 12707 23323 32611 21494 30844 11420 51500 51660 31435 1 1834057 1897057 7307 
49 58198 3932 12715 20821 30091 24004 33364 11420 51500 51660 31435 1 1834057 1897057 7307 
50 60196 6432 12725 18301 27571 26514 35880 11420 51500 51660 31435 1 1834057 1897057 7307 
51 60196 6432 12725 18301 27571 26514 35880 11420 51500 51660 31435 1 1834057 1897057 7307 
52 57676 8950 12735 15781 25051 29024 38380 11420 51500 51660 31435 1 1834057 1897057 7307 
